spoid,name,type
CH10369,"Hong Kong Section Chapter, EMC27",Chapter
CH10849,"Hong Kong Section Chapter, VT06",Chapter
CH10291,"Hong Kong Section Chapter,CIS11",Chapter
CH10233,"Hong Kong Section Chapter,EP21",Chapter
CH11017,"Hong Kong Section Chapter,GRS29",Chapter
CH10267,"Hong Kong Section Chapter,IT12",Chapter
CH10476,"Hong Kong Section Chapter,MAG33",Chapter
CH10275,"Hong Kong Section Chapter,PHO36",Chapter
CH11070,"Hong Kong Section Chapter,RL07",Chapter
CH11166,"Hong Kong Section Chapter,SMC28",Chapter
CH10112,"Hong Kong Section Chapter,SP01",Chapter
CH10704,"Hong Kong Section Chapter,TEM14",Chapter
CH10205,"Hong Kong Section Jt. Chap,AP03/MTT17",Joint Chapter
CH10062,"Hong Kong Section Jt. Chapter, CAS04/COM19",Joint Chapter
CH10149,"Hong Kong Section Jt. Chapter, CS23/RA24",Joint Chapter
CH10200,"Hong Kong Section Jt. Chapter,CT08/OE22",Joint Chapter
CH10013,"Hong Kong Section Jt. Chapter,IE13/PE31/IA34/PEL35",Joint Chapter
CH10118,"Hong Kong Section Jt.Chapter,ED15/SSC37",Joint Chapter
1-8IRBF8G,Hong Kong Shue Yan University,Academic
SCH40057672,Hong Kong Technical College,Academic
STB09111,Hong Kong Univ,Student Branch
A49179,Hong Kong Univ Of Sci & Tech,Academic
STB50271,Hong Kong Univ of Science & Tech,Student Branch
SBC50271B,"Hong Kong Univ of Science & Tech,ED15",Student Branch Chapter
SBC50271,"Hong Kong Univ of Science & Tech,EP21",Student Branch Chapter
SBC50271A,"Hong Kong Univ of Science & Tech,SSC37",Student Branch Chapter
HKN222,"Hong Kong Univ, Lambda Iota",Affinity
SCH09111,Hong Kong University,Academic
SCH60216634,Hong Kong University of Science and Tech-Guangzhou,Academic
SCH50271,Hong Kong University of Science and Technology,Academic
CH10952,"Hong Kong/Guangzhou Joint Sections Chapter,IE13",Joint Chapter
SCH01010,Hongik University,Academic
STB01010,Hongik University,Student Branch
A1765,Honolulu Community College,Academic
A14357,Hood College,Academic
A4886,Hope College,Academic
1-8KH15NM,HOPS d.d.,Employer
SCH60226562,Horizon Campus,Academic
SCH35742,Horizon University College,Academic
STB35742,Horizon University College,Student Branch
A3213,Horry-Georgetown Tech College,Academic
SCH2540433,Horten Ingeniorskule,Academic
SCH2537563,Horw Hohere Technikum Luzerne-Lehnralt,Academic
SCH2516253,Hosei Univ,Academic
1-UA71EU,Hoseo University,Academic
A3595,Housatonic Technical College,Academic
SCH40079517,Houston Christian University,Academic
A12837,Houston Community College,Academic
R50017,Houston Section,Section
CN50017,"Houston Section Affinity Group,CN",Affinity
LM50017,"Houston Section Affinity Group,LM",Affinity
WE50017A,"Houston Section Affinity Group,WIE",Affinity
YP50017,"Houston Section Affinity Group,YP",Affinity
CH05209,"Houston Section Chapter, OE22",Chapter
CH05194,"Houston Section Chapter, PHO36",Chapter
CH05042,"Houston Section Chapter,CAS04",Chapter
CH05247,"Houston Section Chapter,COM19",Chapter
CH05248,"Houston Section Chapter,CS23",Chapter
CH05046,"Houston Section Chapter,EMB18",Chapter
CH05049,"Houston Section Chapter,IA34",Chapter
CH05254,"Houston Section Chapter,IT12",Chapter
CH05217,"Houston Section Chapter,MAG33",Chapter
CH05221,"Houston Section Chapter,NANO42",Chapter
CH05048,"Houston Section Chapter,PE31",Chapter
CH05040,"Houston Section Chapter,SP01",Chapter
CH05253,"Houston Section Chapter,SSC37",Chapter
CH05041,"Houston Section Jt Chapter,AP03/ED15/MTT17",Joint Chapter
A12145,Houston Univ Of-Downtown,Academic
A11153,Howard Community College,Academic
STB00701,Howard Univ,Student Branch
A6178,Howard Univ,Academic
HKN250,"Howard University, Lambda Gamma",Affinity
SCH2540383,HU University of Applied Sciences Utrecht,Academic
A15925,Hua Fan College,Academic
SCH40162134,Hua-Fan College Of Humanities And Tech,Academic
SCH40289175,Huafan University,Academic
SCH60095339,Huaibei Normal University,Academic
SCH60095528,Huazhong Agricultural University,Academic
SCH60095529,Huazhong Normal University,Academic
SBC66291C,"Huazhong Univ of Science & Tech,CAS04/SSC37/ED15",Student Branch Chapter
SBC66291A,"Huazhong University of Science & Technology, IA34",Student Branch Chapter
SBC66291,"Huazhong University of Science & Technology, PEL35",Student Branch Chapter
SBC66291E,"Huazhong University of Science & Technology,MTT17",Student Branch Chapter
SBC66291F,"Huazhong University of Science & Technology,PE31",Student Branch Chapter
SBC66291B,"Huazhong University of Science & Technology,PHO36",Student Branch Chapter
SBC66291D,Huazhong University of Science & TechnologyIE13,Student Branch Chapter
SCH66291,Huazhong University of Science and Technology,Academic
STB66291,Huazhong University of Science and Technology,Student Branch
SCH60225497,Hubei Minzu University,Academic
STB60225497,Hubei Minzu University,Student Branch
SCH41585117,Hubei Normal University,Academic
SCH60180545,Hubei Polytechnic University,Academic
SCH60095526,Hubei University,Academic
SCH60095535,Hubei University of Automobile Technology,Academic
SCH60095534,Hubei University of Chinese Medicine,Academic
SCH60235367,Hubei University of Science and Technology,Academic
SCH60050959,Hubei University of Technology,Academic
A2386,Hudson County Community College,Academic
A8322,Hudson Valley Community College,Academic
STB05542,Hudson Valley Community College,Student Branch
SCH60226404,Hue University of Science,Academic
SCH2506563,Huerta Inst Politecnica Nacional,Academic
1-7S3482E,HuiZhou UNIVERSITY,Academic
A14177,Hult Intl Business School,Academic
A7477,Humber College Library,Academic
A23779,Humber College(Canada),Academic
1-85LQB6,Humber Polytechnic,Academic
STB01721,Humber Polytechnic,Student Branch
SBA01721,"Humber Polytechnic,WIE",Affinity
A10667,Humboldt State Univ,Academic
SCH60226405,Hunan Applied Technology University,Academic
SCH40020094,Hungarian Academy of Sciences,Academic
CH08069,"Hungary Jt. Chapter, AP03/ED15/MTT17/COM19",Joint Chapter
R80051,Hungary Section,Section
LM80051,"Hungary Section Affinity Group, LM",Affinity
YP80051,"Hungary Section Affinity Group, YP",Affinity
WE80051,"Hungary Section Affinity Group,WIE",Affinity
CH08852,"Hungary Section Chapter, CS23",Chapter
CH08424,"Hungary Section Chapter, IA34/PEL35",Joint Chapter
CH08231,"Hungary Section Chapter, PE31",Chapter
CH08382,"Hungary Section Chapter,CIS11",Chapter
CH08959,"Hungary Section Chapter,EMC27",Chapter
CH08540,"Hungary Section Chapter,ITSS38",Chapter
CH08393,"Hungary Section Chapter,SMC28",Chapter
CH08203,"Hungary Section Jt. Chapter, CAS04/C16",Joint Chapter
CH08262,"Hungary Section Jt. Chapter, IE13/RA24",Joint Chapter
CH08255,"Hungary Section Jt. Chapter, IM09/EMB18",Joint Chapter
CH08295,"Hungary/Romania Section Jt. Chapter,EP21/NANO42",Joint Chapter
A4515,Hunter College,Academic
A9360,Huntington College,Academic
R30025,Huntsville Section,Section
LM30025,"Huntsville Section Affinity Group, LM",Affinity
YP30025,"Huntsville Section Affinity Group, YP",Affinity
WE30025,"Huntsville Section Affinity Group,WIE",Affinity
CH03035,"Huntsville Section Chapter, AES10",Chapter
CH03037,"Huntsville Section Chapter, C16",Chapter
CH03192,"Huntsville Section Chapter,EMC27",Chapter
CH03246,"Huntsville Section Chapter,PE31",Chapter
CH03232,"Huntsville Section Chapter,TEM14",Chapter
CH03038,"Huntsville Section Jt. Chapter, CS23/RA24",Joint Chapter
CH03185,"Huntsville Section Jt. Chapter,AP03/MTT17/COM19",Joint Chapter
1-2DES43G,Husson University,Academic
A16396,Huston-Tillotson Univ,Academic
A7390,Hutchinson Area Vocational Tech Inst,Academic
1-709C93C,Hutchinson Community College,Academic
SBC09841A,"Hyderabad Inst of Tech & Mgmt,COM19",Student Branch Chapter
SBA09841,"Hyderabad Inst of Tech & Mgmt,WIE",Affinity
STB09841,Hyderabad Institute of Tech & Mgmt,Student Branch
SCH09841,Hyderabad Institute of Tech & Mgmt,Academic
SBC09841B,"Hyderabad Institute of Tech & Mgmt,RA24",Student Branch Chapter
SBC09841,"Hyderabad Institute of Tech & Mgmt,SEN39",Student Branch Chapter
R00149,Hyderabad Section,Section
LM00149,"Hyderabad Section Affinity Group, LM",Affinity
WE00149,"Hyderabad Section Affinity Group, WIE",Affinity
YP00149,"Hyderabad Section Affinity Group, YP",Affinity
CH10198,"Hyderabad Section Chapter, C16",Chapter
CH10612,"Hyderabad Section Chapter, CAS04/ED15",Joint Chapter
CH10589,"Hyderabad Section Chapter, CIS11",Chapter
CH10515,"Hyderabad Section Chapter, COM19",Chapter
CH10659,"Hyderabad Section Chapter, E25",Chapter
CH10981,"Hyderabad Section Chapter, NANO42",Chapter
CH10627,"Hyderabad Section Chapter, PHO36",Chapter
CH10961,"Hyderabad Section Chapter, SEN39",Chapter
CH11198,"Hyderabad Section Chapter, SIT30",Chapter
CH10705,"Hyderabad Section Chapter, TEM14",Chapter
CH10407,"Hyderabad Section Jt Chapter, AP03/MTT17/EMC27",Joint Chapter
CH10103,"Hyderabad Section Jt. Chapter, PE31/IA34/PEL35",Joint Chapter
A14033,I-Shou Univ,Academic
SIGHT027,I.E.S SIGHT,Affinity
IA034GR,IA-Chapter Support All,Grouping
IA034GR-SB,IA-SB Chapter Support All,SBC Grouping
STB28371,Ibadan Univ of,Student Branch
SBA28371,"Ibadan Univ of, WIE",Affinity
SCH2515953,Ibaraki Univ,Academic
SCH60461,Iberoamericana Univ de Ciencias Y Tecnologa,Academic
SCH60236110,Ibn Sina University for Medical Sciences,Academic
SCH10025,Ibn Tofail University,Academic
STB10025,Ibn Tofail University,Student Branch
SBC10025,"Ibn Tofail University,IA34",Student Branch Chapter
SCH60225863,Ibn Zohr University,Academic
SCH11383,IBRI College of Technology,Academic
STB11383,IBRI College of Technology,Student Branch
R80081,Iceland Section,Section
SCH02571,Icesi University,Academic
STB02571,Icesi University,Student Branch
SBC02571A,Icesi University COM19,Student Branch Chapter
SBA02571,"Icesi University, WIE",Affinity
SBC02571B,"Icesi University,C16",Student Branch Chapter
SBC02571C,"Icesi University,CIS11",Student Branch Chapter
A5150,Idaho State Univ,Academic
STB05851,Idaho State University,Student Branch
A2249,Idaho Univ Of-Boise,Academic
SCH2552903,Ie (Inst Of Engineers) India,Academic
IE013GR,IE-Chapter Support All,Grouping
IE013GR-SB,IE-SB Chapter Support All,SBC Grouping
CMC0200,IEEE Admission And Advancement Committee,Committee
AES010,IEEE Aerospace and Electronic Systems Society,Society
LGR60049AI,IEEE AI for Disaster Prevention and Rescue Group,Local Group
SBA17001S,IEEE Amity University SIGHT,Affinity
AP003,IEEE Antennas and Propagation Society,Society
LGR50005BC,IEEE Austin Blockchain Group,Local Group
LGR50005AI,IEEE Austin GenAI & ML Group,Local Group
LGR80037BC,IEEE Austria Blockchain Group,Local Group
SIGHT090,IEEE Bahrain Section SIGHT,Affinity
SIGHT002,IEEE Bangalore Section R-10 SIGHT,Affinity
LGR80091EP,IEEE Beirut Entrepreneurship Group,Local Group
LGR00176EV,IEEE Bhubaneswar Electric Vehicle Group,Local Group
LGR00176EI,IEEE BHUBANESWAR ENTREPRENEURSHIP & INNOV. GROUP,Local Group
BIO046,IEEE Biometrics Council,Council
LGR70009BC,IEEE Blockchain Montreal Local Group,Local Group
LGR60007AR,IEEE Boise Amateur Radio Group,Local Group
LGR10005AI,IEEE Boston AI Group,Local Group
LGR10005BC,IEEE Boston Blockchain Group,Local Group
LGR90115IE,IEEE Brasil Industry Engagement Group,Local Group
LGR90115BC,IEEE Brasilia Blockchain Group,Local Group
BT002,IEEE Broadcast Technology Society,Society
LGR80075AI,IEEE Bulgaria AI-Varna Group,Local Group
LGR80075PE,IEEE Bulgaria Power Electronics Group,Local Group
LGR80075BC,IEEE Bulgaria Section Blockchain Group,Local Group
LGR80199DS,"IEEE Cameroon Data Science, AI and IoT Group",Local Group
SBA60451S,IEEE CEC SIGHT (Chengannur College of Engineering),Affinity
LGR40003CC,IEEE Cedar Rapids Climate Change Group,Local Group
LGR40011CC,IEEE Chicago Climate Sustainability Local Group,Local Group
LGR40011IE,IEEE Chicago Industry Engagement Group,Local Group
LGR40011QC,IEEE Chicago Section Quantum Computing Local Group,Local Group
CAS004,IEEE Circuits and Systems Society,Society
LGR90761ET,IEEE ColCaribe Entrepreneurship Group,Local Group
LGR90769BC,IEEE Colombian Caribbean Blockchain Group,Local Group
COM019,IEEE Communications Society,Society
CIS011,IEEE Computational Intelligence Society,Society
C016,IEEE Computer Society,Society
CT008,IEEE Consumer Technology Society,Society
CS023,IEEE Control Systems Society,Society
SIGHT052,IEEE Costa Rica Section SIGHT,Affinity
CEDA044,IEEE Council on Electronic Design Automation,Council
RFID741,IEEE Council on RFID,Council
CSC041,IEEE Council on Superconductivity,Council
LGR80065ET,IEEE Croatia Entrepreneurship Group,Local Group
SIGHT072,IEEE Croatia Section SIGHT,Affinity
C-CBS767,IEEE Cybersecurity Community,Community
LGR80073EG,IEEE Cyprus Engineers who Grill Group,Local Group
LGR80073MV,IEEE Cyprus Metaverse Group,Local Group
SIGHT036,IEEE Delhi Section SIGHT,Affinity
LGR50011LM,IEEE Denver Large Language Models Study Group,Local Group
DEI032,IEEE Dielectrics and Electrical Insulation Society,Society
LGR90127DT,IEEE Digital Twin Brazil Group,Local Group
LGR90729IE,IEEE Ecuador Industry and Entrepreneurship Group,Local Group
SIGHT113,IEEE Ecuador Section SIGHT,Affinity
E025,IEEE Education Society,Society
LGR90535CS,IEEE El Salvador Communications Society Group,Local Group
SIGHT068,IEEE El Salvador Section SIGHT,Affinity
LGR80147ET,IEEE Eldoret Entrepreneurship Group,Local Group
EMC027,IEEE Electromagnetic Compatibility Society,Society
ED015,IEEE Electron Devices Society,Society
EP021,IEEE Electronics Packaging Society,Society
LGR50137RE,IEEE Elkins Robotics and Electronics Club Group,Local Group
EMB018,IEEE Engineering Medicine and Biology Society,Society
LGR80006BC,IEEE Estonia Section Blockchain Group,Local Group
LGR80035BC,IEEE Finland Blockchain Group,Local Group
LGR30517BC,IEEE Florida West Coast Section Blockchain Group,Local Group
LGR60513BC,IEEE Foothill Blockchain Group,Local Group
SIGHT101,IEEE France Section SIGHT,Affinity
LGR00171ET,IEEE Galgotias University Entrepreneurship Group,Local Group
GRS029,IEEE Geoscience and Remote Sensing Society,Society
SIGHT094,IEEE Germany Section SIGHT,Affinity
LGR80112BC,IEEE Ghana Blockchain Group,Local Group
SIGHT181,IEEE Ghana Section SIGHT,Affinity
LGR90537ET,IEEE Guatemala Section Entrepreneurship Group,Local Group
SIGHT009,IEEE HK SIGHT,Affinity
LGR00007AI,IEEE Hong Kong AI for DEI Group,Local Group
LGR00007BC,IEEE Hong Kong Blockchain Group,Local Group
LGR50017BC,IEEE Houston Blockchain Group,Local Group
LGR40007ET,IEEE Indiana Entrepreneurship Group,Local Group
IE013,IEEE Industrial Electronics Society,Society
IA034,IEEE Industry Applications Society,Society
IT012,IEEE Information Theory Society,Society
IM009,IEEE Instrumentation and Measurement Society,Society
SBA17471S,IEEE Integral Univ Lucknow SIGHT,Affinity
ITSS038,IEEE Intelligent Transportation Systems Society,Society
LGR80016BC,IEEE Iraq Blockchain Group,Local Group
LGR80016ET,IEEE Iraq Entrepreneurship Group,Local Group
SBA16051S,IEEE ITS Engineering College SIGHT,Affinity
LGR80079AI,"IEEE Jordan AI, Machine&Deep Learning, CV, LLM Grp",Local Group
LGR80079CD,IEEE Jordan Chip Design Group,Local Group
LGR80079EI,IEEE Jordan Entrepreneurship and Innovation Group,Local Group
LGR80079IT,IEEE Jordan Internet of Things IoT Group,Local Group
LGR80079RO,IEEE Jordan ROS,Local Group
LGR80079AE,IEEE Jordan Section AESS Group,Local Group
LGR80079CS,IEEE Jordan Section Cybersecurity Group,Local Group
LGR80079CSI,IEEE Jordan YP Climate & Sustainable Initiatives,Local Group
LGR80021ET,IEEE Kazakhstan Entrepreneurship Group,Local Group
LGR80147BC,IEEE Kenya Blockchain Group,Local Group
LGR00155IE,IEEE Kharagpur Innovation & Entrepreneurship Group,Local Group
LGR70005BC,IEEE Kitchener-Waterloo Blockchain Group,Local Group
LGR30713QC,IEEE Knoxville Quantum Computing/Information Group,Local Group
SIGHT001,IEEE Kolkata Section SIGHT,Affinity
SIGHT042,IEEE Lahore Section SIGHT,Affinity
LGR80010BC,IEEE Latvia Blockchain Group,Local Group
LGR80010CS,IEEE Latvia Cybersecurity Group,Local Group
SIGHT116,IEEE Lebanon Section SIGHT,Affinity
LGR80091CS,IEEE Lebanon YP Climate & Sustainable Initiatives,Local Group
CMC1200,IEEE Life Members Committee,Committee
LGR50052AI,"IEEE Lone Star 5G, AI & Cyber. Consortium Group",Local Group
LGR00228BC,IEEE Macau/Guangzhou Blockchain Local Group,Local Group
SIGHT010,IEEE Madras Section SIGHT,Affinity
MAG033,IEEE Magnetics Society,Society
CMC5300,IEEE Member and Geographic Activities Board,Board
DPT24499,IEEE Member and Geographic Activities Department,IEEE Department
LGR30733BC,IEEE Memphis Blockchain Group,Local Group
MTT017,IEEE Microwave Theory and Technology Society,Society
LGR90149BC,IEEE Minas Sec. Blockchain Concepts for Microgrids,Local Group
SBA35681S,IEEE Model Engineering College (MEC) SB SIGHT,Affinity
LGR80147UE,IEEE Moi University Entrepreneurship Group,Local Group
SIGHT038,IEEE Montreal Section SIGHT,Affinity
NANO042,IEEE Nanotechnology Council,Council
SIGHT070,IEEE Nepal Subsection SIGHT,Affinity
LGR10023ET,IEEE New Hampshire Entrepreneurship Group,Local Group
LGR10023EC,IEEE New Hampshire Section Admin Group,Local Group
LGR10023AI,IEEE New Hampshire Section AI Group,Local Group
SIGHT119,IEEE New Jersey Coast Section SIGHT,Affinity
LGR00509BC,IEEE New South Wales Blockchain Group,Local Group
SIGHT076,IEEE Nicaragua Section SIGHT,Affinity
SIGHT078,IEEE Nigeria Section SIGHT,Affinity
LGR80077BC,IEEE North Macedonia Blockchain Group,Local Group
LGR90127 ET,IEEE Northeast Brazil Section Entrepreneurship Grp,Local Group
LGR80013BC,IEEE Norway Blockchain Group,Local Group
NPS005,IEEE Nuclear and Plasma Sciences Society,Society
LGR60367BC,IEEE Oakland East Bay Blockchain Group,Local Group
OE022,IEEE Oceanic Engineering Society,Society
LGR80004BC,IEEE Oman Blockchain Group,Local Group
LGR60527BC,IEEE Orange County Blockchain Group,Local Group
LGR50137OS,IEEE Ozark Open-Source Group (OSIEEE),Local Group
SIGHT077,IEEE Palm Beach Section SIGHT,Affinity
LGR90525ET,IEEE Panama Entrepreneurship Group,Local Group
SIGHT064,IEEE PH Section SIGHT,Affinity
PHO036,IEEE Photonics Society,Society
LGR80045BC,IEEE Portugal Blockchain Group,Local Group
SIGHT082,IEEE Pottery Workers SIGHT,Affinity
PE031,IEEE Power & Energy Society,Society
PEL035,IEEE Power Electronics Society,Society
LGR10053DA,IEEE Princeton/Central Jersey Data Analytics Group,Local Group
PSE043,IEEE Product Safety Engineering Society,Society
PC026,IEEE Professional Communication Society,Society
LGR90088BE,IEEE Region 9 Brand Experience Group,Local Group
RL007,IEEE Reliability Society,Society
LGR80007RP,IEEE Resilient Power Systems & Emerg Prep Group,Local Group
LGR30002MT,IEEE Richmond Mission Tomorrow Event Group,Local Group
RA024,IEEE Robotics and Automation Society,Society
LGR40029CC,IEEE Rock River Valley Climate Change Group,Local Group
LGR80061BC,IEEE Romania Blockchain Group,Local Group
LGR80061ET,IEEE Romania Entrepreneurship Group,Local Group
LGR80199EI,IEEE Rwanda Entrepreneurship and Innovation Group,Local Group
SIGHT003,IEEE Sahaaya SIGHT,Affinity
LGR60537OS,IEEE San Diego Open Source Digital Radio Group,Local Group
LGR80043QC,IEEE Saudi Arabia Section Quantum Computing Group,Local Group
SEN039,IEEE Sensors Council,Council
LGR80069BC,IEEE Serbia & Montenegro Blockchain Group,Local Group
LGR00210BC,IEEE Shanghai Blockchain Group,Local Group
LGR00228BC2,IEEE Shenzhen Blockchain Group,Local Group
C-SIGHT,IEEE SIGHT,Community
SIGHT011,IEEE SIGHT Chile Section,Affinity
SIGHT059,IEEE SIGHT Islamabad Section,Affinity
SIGHT089,IEEE SIGHT Spain,Affinity
C-SIGHTSC,IEEE SIGHT Steering Committee,Committee
SP001,IEEE Signal Processing Society,Society
LGR60035SD,IEEE Silicon Design Verification Group,Local Group
LGR60369BC,IEEE Silicon Valley Blockchain Group,Local Group
LGR60369TH,IEEE Silicon Valley Technology History Group,Local Group
SIT030,IEEE Society on Social Implications of Technology,Society
SSC037,IEEE Solid-State Circuits Society,Society
LGR80141BC,IEEE South Africa Blockchain Group,Local Group
LGR00002CC,IEEE Sri Lanka Cloud Computing Group,Local Group
LGR00002CS,IEEE Sri Lanka Cybersecurity Group,Local Group
LGR00002ET,IEEE Sri Lanka Entrepreneurship Group,Local Group
LGR00002BC,IEEE Sri Lanka Section Blockchain Group,Local Group
SIGHT114,IEEE Sri Lanka Section SIGHT,Affinity
LGR80007BC,IEEE Switzerland Blockchain Group,Local Group
LGR80007EV,IEEE Switzerland Entrepreneurship & Venture Creat.,Local Group
SYS045,IEEE Systems Council,Council
SMC028,"IEEE Systems, Man, and Cybernetics Society",Society
TEM014,IEEE Technology and Engineering Management Society,Society
LGR00629BC,IEEE Thailand Blockchain Group,Local Group
LGR00629CI,IEEE Thailand Computational Intelligence Group,Local Group
LGR00629QI,IEEE Thailand Quantum Information Technology Group,Local Group
LGR70025BC,IEEE Toronto Blockchain Group,Local Group
TEC802,IEEE Transportation Electrification Council,Council
SIGHT079,IEEE Tunisia Section SIGHT,Affinity
SIGHT120,IEEE Turkiye Section SIGHT,Affinity
LGR40041EE,IEEE Twin Cities Ethics in Engineering Group,Local Group
LGR40041SM,IEEE Twin Cities Senior Membership Elevation Group,Local Group
LGR80049BC,IEEE UAE Blockchain Group,Local Group
LGR80126ET,IEEE Uganda Entrepreneurship Group,Local Group
SIGHT102,IEEE Uganda Section SIGHT,Affinity
LGR80126SA,IEEE Uganda Smart Agriculture Group,Local Group
UFFC020,"IEEE Ultrasonics,Ferroelectrics,&Frequency Control",Society
SIGHT035,IEEE UP Section SIGHT,Affinity
SBA10991S,IEEE UPES SIGHT,Affinity
SIGHT074,IEEE Uruguay Section SIGHT,Affinity
LGR70027BC,IEEE Vancouver Blockchain Group,Local Group
VT006,IEEE Vehicular Technology Society,Society
LGR00543BC,IEEE Victorian Section Blockchain Group,Local Group
SBA17071S,IEEE VPCOE Student Branch SIGHT,Affinity
SIGHT071,IEEE West Saudi Arabia Section SIGHT,Affinity
WIE050,IEEE Women in Engineering,Society
CMC4000,IEEE Women In Engineering,Committee
CMA9100,IEEE Young Professionals Committee,Committee
HKN244,IEEE-HKN Southeastern Michigan Alumni Chapter,Affinity
SCH60093082,IES College of Technology,Academic
SCH11351,IES College of Technology - Bhopal,Academic
STB11351,IES College of Technology - Bhopal,Student Branch
SCH39666,IFBA-Campus Vitoria da Conquista,Academic
STB39666,IFBA-Campus Vitoria da Conquista,Student Branch
SBC39666,"IFBA-Campus Vitoria da Conquista,MTT17",Student Branch Chapter
SBC39666A,"IFBA-Campus Vitoria da Conquista,RA24",Student Branch Chapter
SBA39666,"IFBA-Campus Vitoria da Conquista,WIE",Affinity
SCH60055179,IFTM - Instituto Federal do Triangulo Mineiro,Academic
SCH18231,IFTM University,Academic
STB18231,IFTM University,Student Branch
SCH60098895,Igbinedion University Okada,Academic
SCH45891646,IHE Delft Institute for Water Education,Academic
A39121,IIEEE-USA,Academic
SCH17771,IIMT College of Engineering Greater Noida,Academic
STB17771,IIMT College of Engineering Greater Noida,Student Branch
SBC17771B,"IIMT College of Engineering Greater Noida,AP03",Student Branch Chapter
SBC17771A,"IIMT College of Engineering Greater Noida,C16",Student Branch Chapter
SBC0517A,"IInstituto Tec Estudios-Monterrey, PE31",Student Branch Chapter
SBA18191S,IIT-Mandi SIGHT,Affinity
SCH39662,Ilia State University,Academic
STB39662,Ilia State University,Student Branch
A3893,Illinois Benedectine College,Academic
A1747,Illinois Central College,Academic
STB00721,Illinois Inst of Tech,Student Branch
A10481,Illinois Inst of Tech,Academic
SBC00721,"Illinois Inst of Tech,C16",Student Branch Chapter
HKN004,"Illinois Inst of Tech,Delta",Affinity
A14736,Illinois Inst Of Technology-Rice,Academic
A10769,Illinois State Univ,Academic
A46624,Illinois State University,Academic
SCH2522123,Illinois State University,Academic
STB2522123,Illinois State University,Student Branch
A5223,Illinois Valley Community College,Academic
A8325,Illinois Wesleyan Univ,Academic
A2190,Illinois Wesleyan University,Academic
SCH99215,Ilma University,Academic
STB99215,Ilma University,Student Branch
IM009GR,IM-Chapter Support All,Grouping
IM009SR,IM-Representatives,Committee
IM009GR-SB,IM-SB Chapter Support All,SBC Grouping
IM009SC,IM-Standing Committee Chairpersons,Committee
IM009TC,IM-Technical Committee Chairpersons,Committee
SCH10227,Imam Abdulrahman Bin Faisal University,Academic
STB10227,Imam Abdulrahman Bin Faisal University,Student Branch
SCH60204885,Imam Abdulrahman Bin Faisal University-Jubail,Academic
STB60204885,Imam Abdulrahman Bin Faisal University-Jubail,Student Branch
SCH60224239,Imam Jaafar Al-Sadiq University,Academic
SCH60095361,Imam Khomeini International University,Academic
SCH99363,Imam Mohammad Ibn Saud Islamic University,Academic
STB99363,Imam Mohammad Ibn Saud Islamic University,Student Branch
SCH60059877,Imam Reza University,Academic
SCH41492083,Imperial College Lahore,Academic
STB02871,Imperial College London,Student Branch
SCH02871,Imperial College London,Academic
SBC02871A,"Imperial College London,EMB18",Student Branch Chapter
SBC02871,"Imperial College London,PE31",Student Branch Chapter
A22378,"Imperial College Of Science,Technology-Univ London",Academic
STB03671,IMS Engineering College,Student Branch
SCH03671,IMS Engineering College,Academic
SCH45893487,IMT School for Advanced Studies Lucca,Academic
SCH62561,IMT-Atlantique,Academic
STB62561,IMT-Atlantique,Student Branch
SCH60095122,INACAP,Academic
LGR60007ID,Inbox Detox Committee,Local Group
SCH2534263,Incheon Univ,Academic
SBC10037,"Ind Inst of Info Tech, Des & Manu Jabalpur,MTT17",Student Branch Chapter
SBC10037A,"Ind Inst of Info Tech, Des & Manu Jabalpur,SP01",Student Branch Chapter
SBA10037,"Ind Inst of Info Tech, Design & Manu Jabalpur, WIE",Affinity
SCH98281,Independent University-Bangladesh,Academic
STB98281,Independent University-Bangladesh,Student Branch
SBC98281A,"Independent University-Bangladesh,C16",Student Branch Chapter
SBC98281,"Independent University-Bangladesh,IA34",Student Branch Chapter
SBC98281D,"Independent University-Bangladesh,PE31",Student Branch Chapter
SBC98281C,"Independent University-Bangladesh,PHO36",Student Branch Chapter
SBC98281B,"Independent University-Bangladesh,RA24",Student Branch Chapter
SBA98281,"Independent University-Bangladesh,WIE",Affinity
SCH41313476,Independente Univ,Academic
SCH18131,Inderprastha Engineering College,Academic
STB18131,Inderprastha Engineering College,Student Branch
SBC18131,"Inderprastha Engineering College,CAS04",Student Branch Chapter
SBA18131,"Inderprastha Engineering College,WIE",Affinity
R001,India Council,Council
LM001,"India Council Affinity Group,LM",Affinity
A17434,Indian Hills Community College,Academic
SBC06321H,"Indian Ins of Tec(BanarusHinduU)Vara,ED15/NANO42",Student Branch Chapter
SCH11474,Indian Inst of Info Tech & Management-Gwalior,Academic
STB11474,Indian Inst of Info Tech & Management-Gwalior,Student Branch
SBC11474A,"Indian Inst of Info Tech & Management-Gwalior,AP03",Student Branch Chapter
SBC11474,"Indian Inst of Info Tech & Mgmt-Gwalior,AES10",Student Branch Chapter
SBC11474C,"Indian Inst of Info Tech & Mgmt-Gwalior,CAS04",Student Branch Chapter
SBC11474B,"Indian Inst of Info Tech & Mgmt-Gwalior,MTT17",Student Branch Chapter
SBC64286B,"Indian Inst of Info Tech Design & Manf,AP03/MTT17",Student Branch Chapter
SBC10037C,"Indian Inst of Info Tech, Des &Manu Jabalpur,ED15",Student Branch Chapter
