spoid,name,type
SBC11583B,"Adani University,AP03",Student Branch Chapter
SBC11583C,"Adani University,CIS11",Student Branch Chapter
SBC11583A,"Adani University,IA34",Student Branch Chapter
SBC11583,"Adani University,SP01",Student Branch Chapter
SBA11583,"Adani University,WIE",Affinity
SCH60053359,Adarsh College of Engineering,Academic
SCH60201458,Addis Ababa Institute of Technology,Academic
SCH60242340,Addis Ababa Science and Technology University,Academic
STB99406,Addis Ababa Univ,Student Branch
SBC99406,"Addis Ababa Univ,EP21",Student Branch Chapter
SCH99406,Addis Ababa University,Academic
A48732,Adelphi Univ,Academic
1-70PYSWA,ADEN University,Academic
SCH64471,Adhiparasakthi College Of Engineering,Academic
SBC64201E,"Adi Shankara Inst of Eng &Tech,RA/BIO/NANO/SEN/SYS",Student Branch Chapter
SCH64201,Adi Shankara Inst of Engineering & Tech,Academic
STB64201,Adi Shankara Inst of Engineering & Tech,Student Branch
SBC64201B,"Adi Shankara Inst of Engineering & Tech,C16",Student Branch Chapter
SBC64201F,"Adi Shankara Inst of Engineering & Tech,COM19",Student Branch Chapter
SBC64201G,"Adi Shankara Inst of Engineering & Tech,EMB18",Student Branch Chapter
SBC64201,"Adi Shankara Inst of Engineering & Tech,IA34",Student Branch Chapter
SBC64201C,"Adi Shankara Inst of Engineering & Tech,IM09",Student Branch Chapter
SBC64201H,"Adi Shankara Inst of Engineering & Tech,MTT17",Student Branch Chapter
SBC64201D,"Adi Shankara Inst of Engineering & Tech,PE31",Student Branch Chapter
SBC64201A,"Adi Shankara Inst of Engineering & Tech,SP01",Student Branch Chapter
SBA64201,"Adi Shankara Inst of Engineering & Tech,WIE",Affinity
SCH40351465,Adiestramiento En Trabajo Ind Serv Can,Academic
1-2IOY2Z,Adirondack Community College,Academic
SCH10104,Aditya College of Engineering and Technology,Academic
STB10104,Aditya College of Engineering and Technology,Student Branch
SCH19071,Aditya Institute Of Tech & Management - Tekkali,Academic
STB19071,Aditya Institute of Technology and Management,Student Branch
SCH60112884,Aditya University,Academic
STB60112884,Aditya University,Student Branch
SBC60112884,"Aditya University,CSC41/SEN39",Student Branch Chapter
SBC60112884A,"Aditya University,SP01",Student Branch Chapter
SBA60112884,"Aditya University,WIE",Affinity
SCH60178045,Adm Makarov State Univ of Maritime&Inland Shipping,Academic
SCH40339541,Administracion Inst De Est Sup,Academic
SCH2519183,Admiral Makarov National Univ. of Shipbuilding,Academic
SCH2519483,Admiral Makarov State Maritime Academy,Academic
STB10173,Adnan Menderes University,Student Branch
SCH10173,Adnan Menderes University,Academic
SBC10173,"Adnan Menderes University,C16",Student Branch Chapter
SBC10173A,"Adnan Menderes University,PE31",Student Branch Chapter
SBA10173,"Adnan Menderes University,WIE",Affinity
SCH60235205,Advanced College of Engineering and Management,Academic
SCH60123605,Advanced Technological Institute Gampaha,Academic
A16137,Advancing Computer Tech Univ Of,Academic
AES010GR,AES-Chapter Support All,Grouping
AES010GR-SB,AES-SB Chapter Support All,SBC Grouping
SCH99071,Afe Babalola University,Academic
STB99071,Afe Babalola University,Student Branch
SCH60105886,AFEKA-Tel Aviv Academic College of Engg,Academic
R0009904,Afghanistan Subsection,Sub-section
R801,Africa Council,Council
LM801,"Africa Council Affinity Group,LM",Affinity
SCH60204947,African Leadership Campus Mauritius,Academic
SCH10631,AGH University of Krakow,Academic
STB10631,AGH University of Science and Technology,Student Branch
A40727,AGH University of Science and Technology,Academic
SCH41554016,agos State Government Technical College Odomola,Academic
SCH60120684,Agostinho Neto University,Academic
SCH2521083,Agra Univ,Academic
SCH41513962,Agricultural Univ Of Norway,Academic
A5754,Agricultural/Tech State Univ,Academic
SCH2529724,Agriculture Univ Of,Academic
R90353,Aguascalientes Section,Section
WE90353,"Aguascalientes Section Affinity Group, WIE",Affinity
YP90353,"Aguascalientes Section Affinity Group, YP",Affinity
SCH01007,Ahlia University,Academic
STB01007,Ahlia University,Student Branch
SCH2510863,Ahmadu Bello University,Academic
SCH17381,Ahmedabad University,Academic
STB17381,Ahmedabad University,Student Branch
1-24TTN6F,Ahmedabad University,Academic
SBA17381,"Ahmedabad University, WIE",Affinity
SBC17381A,"Ahmedabad University,RA24",Student Branch Chapter
SCH60098686,Ahmet Yesevi University,Academic
SBC63101C,"Ahsanullah Univ of Science and Tech,AP03/MTT17",Student Branch Chapter
SBA63101,"Ahsanullah University of Science & Technology,WIE",Affinity
SBC63101,"Ahsanullah University of Science &Tech,SP01,COM19",Student Branch Chapter
SBC63101B,"Ahsanullah University of Science &Technology,ED15",Student Branch Chapter
SBC63101A,"Ahsanullah University of Science &Technology,PE31",Student Branch Chapter
STB63101,Ahsanullah University of Science and Technology,Student Branch
SCH63101,Ahsanullah University of Science and Technology,Academic
SCH2597023,Aichi Inst Of Tech,Academic
SCH60098511,Aichi Medical University,Academic
SCH60034399,Aichi Prefectural University,Academic
A8101,Aiken Technical College,Academic
A42117,Aims Community College,Academic
STB02841,Ain Shams University,Student Branch
SCH02841,Ain Shams University,Academic
SBC02841A,"Ain Shams University, PE31",Student Branch Chapter
SBC02841B,"Ain Shams University,SSC37",Student Branch Chapter
SCH60157588,Air Force Engineering University,Academic
A14158,Air Force Inst Of Tech,Academic
SCH08191,Air University,Academic
STB08191,Air University,Student Branch
1-7B56W7X,Air War College,Academic
SBA63601S,AISSMS Inst of Info Tech SIGHT,Affinity
SCH60049786,AISSMS's Institute of Info Technology - Pune,Academic
