issue,unit_spoid,unit_name,unit_type,unit_status,related_spoid,related_name,related_type,related_status
parent does not list unit as child,CH10090,"Gujarat Section Chapter,C16",Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,CH10474,"Gujarat Section Chapter,COM19",Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH11095,"Gujarat Section Chapter,ITSS38",Chapter,Active,R00163,Gujarat Section,Section,Active
parent does not list unit as child,CH10494,"Gujarat Section Chapter,PE31",Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH10641,"Gujarat Section Chapter,SP01",Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,CH10634,"Gujarat Section Chapter,SSC37/ED15",Joint Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,CH10477,"Gujarat Section Jt. Chapter, AP03/MTT17",Joint Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,CH10477,"Gujarat Section Jt. Chapter, AP03/MTT17",Joint Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,CH10148,"Gujarat Section Jt. Chapter, IE13/IA34/PEL35",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,R00163,Gujarat Section,Section,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,SSC037,IEEE Solid-State Circuits Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,EP021,IEEE Electronics Packaging Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,IM009,IEEE Instrumentation and Measurement Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,EMC027,IEEE Electromagnetic Compatibility Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,RL007,IEEE Reliability Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,CH11230,"Gujarat Section,TEC802/VT06",Joint Chapter,Active,CS023,IEEE Control Systems Society,Society,Active
parent does not list unit as child,STB60093367,Gujarat Technological University,Student Branch,Active,R00163,Gujarat Section,Section,Active
parent does not list unit as child,SBC60093367,"Gujarat Technological University,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,STB2530573,Guru Ghasidas Univ,Student Branch,Active,R00126,Madhya Pradesh Section,Section,Active
parent does not list unit as child,SBC2530573A,"Guru Ghasidas Univ,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC2530573,"Guru Ghasidas Univ,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SCH62671,Guru Gobind Singh Indraprastha Univ,Academic,Active,R00123,Delhi Section,Section,Active
parent does not list unit as child,SBA62671,"Guru Gobind Singh Indraprastha Univ, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB96281,Guru Nanak Dev Engineering College-Bidar,Student Branch,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SCH96281,Guru Nanak Dev Engineering College-Bidar,Academic,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SBC96281B,"Guru Nanak Dev Engineering College-Bidar,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC96281D,"Guru Nanak Dev Engineering College-Bidar,C16/SEN39",Student Branch Chapter,Active,SEN039,IEEE Sensors Council,Council,Active
parent does not list unit as child,SBC96281D,"Guru Nanak Dev Engineering College-Bidar,C16/SEN39",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC96281,"Guru Nanak Dev Engineering College-Bidar,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC96281E,"Guru Nanak Dev Engineering College-Bidar,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC96281C,"Guru Nanak Dev Engineering College-Bidar,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA96281,"Guru Nanak Dev Engineering College-Bidar,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA11517,"GVP College of Engineering For Women,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA11517,"GVP College of Engineering For Women,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,STB16341A,Gyan Ganga College of Technology,Student Branch,Active,R00126,Madhya Pradesh Section,Section,Active
parent does not list unit as child,SBC11201,"Hacettepe University, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC11201B,"Hacettepe University, EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC11201A,"Hacettepe University, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBA11201,"Hacettepe University, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10038A,"Hajee Mohammad Danesh Science & Tech Univ,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC10038,"Hajee Mohammad Danesh Science & Tech Univ,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC10038B,"Hajee Mohammad Danesh Science & Tech Univ,PHO36",Student Branch Chapter,Active,PHO036,IEEE Photonics Society,Society,Active
parent does not list unit as child,SBA10038,"Hajee Mohammad Danesh Science & Tech Univ,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC66361A,"Haldia Institute of Technology,IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC66361,"Haldia Institute of Technology,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBA66501,"Hamburg University of Technology,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA66501,"Hamburg University of Technology,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,SBA62221,"Hamdard Inst of Engineering & Tech,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB60212106,Hamdard University Islamabad,Student Branch,Active,R00091,Islamabad Section,Section,Active
parent does not list unit as child,SBC60212106,"Hamdard University Islamabad,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,CH07200,"Hamilton Section Chapter,IE13/IA34",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH07200,"Hamilton Section Chapter,IE13/IA34",Joint Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,CH07164,"Hamilton Section Joint Chapter, PE31/PEL35",Joint Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,LM30014,"Hampton Roads Affinity Group,LM",Affinity,Active,CMC1200,IEEE Life Members Committee,Committee,Active
parent does not list unit as child,STB41699050,Hangzhou Dianzi University,Student Branch,Active,R00214,Nanjing Section,Section,Active
parent does not list unit as child,SBC86051,"Hanyang University,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC8605B,"Hanyang University,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC8605A,"Hanyang University,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC8605C,"Hanyang University,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC65591A,"Harbin Inst of Tech Shenzhen Graduate School,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC66231,"Harbin Institute of Technology-Main Campus,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC66231E,"Harbin Institute of Technology-Main Campus,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC66231D,"Harbin Institute of Technology-Main Campus,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,WE00208,"Harbin Section Affinity Group, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,CH10606,"Harbin Section Chapter, COM19",Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH10817,"Harbin Section Chapter, PE31",Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH10795,"Harbin Section Chapter, VT06",Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,CH11035,"Harbin Section Chapter,AP03",Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,CH11009,"Harbin Section Chapter,BT02",Chapter,Active,BT002,IEEE Broadcast Technology Society,Society,Active
parent does not list unit as child,CH11118,"Harbin Section Chapter,COM19-Changchun",Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH10918,"Harbin Section Chapter,IA34",Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH10875,"Harbin Section Chapter,SMC28",Chapter,Active,SMC028,"IEEE Systems, Man, and Cybernetics Society",Society,Active
parent does not list unit as child,CH11207,"Harbin Section Chapter,SYS45",Chapter,Active,R00208,Harbin Section,Section,Active
parent does not list unit as child,CH10406,"Harbin Section Jt Chapter, ED15/PHO36",Joint Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,CH10460,"Harbin Section Jt. Chapter, EMC27/MTT17/AP03",Joint Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,CH10411,"Harbin Section, ED15 Dalian",Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,STB11519,Harcourt Butler Technical University,Student Branch,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,SBC11519B,"Harcourt Butler Technical University,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC11519A,"Harcourt Butler Technical University,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC11519,"Harcourt Butler Technical University,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBA11519,"Harcourt Butler Technical University,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA11519,"Harcourt Butler Technical University,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,SBA61971S,Hashemite University SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC61971C,"Hashemite University, C16/CIS11",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC61971D,"Hashemite University, PE31/IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC61971D,"Hashemite University, PE31/IA34",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC61971E,"Hashemite University,IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,YP60017,"Hawaii Section Affinity Group, YP",Affinity,Active,CMA9100,IEEE Young Professionals Committee,Committee,Active
parent does not list unit as child,LM60017,"Hawaii Section Affinity Group,LM",Affinity,Active,CMC1200,IEEE Life Members Committee,Committee,Active
parent does not list unit as child,WE60017,"Hawaii Section Affinity Group,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,CH06255,"Hawaii Section Chapter, COM19/SP01/C16",Joint Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,CH06307,"Hawaii Section Chapter, PE31",Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH06346,"Hawaii Section Chapter,AP03",Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,CH06337,"Hawaii Section Chapter,IA34",Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH06302,"Hawaii Section Jt. Chapter, ED15/SSC37",Joint Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SCH65771,Hebei University,Academic,Active,R00251,Beijing Section,Section,Active
parent does not list unit as child,STB60129089,Hebei University of Technology,Student Branch,Active,R00251,Beijing Section,Section,Active
parent does not list unit as child,SCH60129089,Hebei University of Technology,Academic,Active,R00251,Beijing Section,Section,Active
parent does not list unit as child,SBC60129089,"Hebei University of Technology,PEL35/TEC802/SYS45",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC60210685,"Hellenic Mediterranean University-Heraklion,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC24001,"Helwan Univ, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC24001A,"Helwan Univ, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA24001,"Helwan Univ, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC24001B,"Helwan Univ,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SCH66471,Helwan University Faculty of Computer & AI,Academic,Active,R80103,Egypt Section,Section,Active
parent does not list unit as child,SBC646111,"Heritage Institute of Technology-Kolkata,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC64611B,"Heritage Institute of Technology-Kolkata,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC64611C,"Heritage Institute Of Technology-Kolkata,TEM14",Student Branch Chapter,Active,TEM014,IEEE Technology and Engineering Management Society,Society,Active
parent does not list unit as child,CH05255,"High Plains Sect Jt. Chap,IA34/PE31 - Black Hills",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH05255,"High Plains Sect Jt. Chap,IA34/PE31 - Black Hills",Joint Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA63051,"Higher Colleges of Tech -Sharjah Women's Coll, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA16991S,"Higher Inst of Applied Sci & Tech of Sousse, SIGHT",Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC16991D,"Higher Inst of Applied Science &Tech of Sousse,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA16991,"Higher Inst of Applied Science &Tech of Sousse,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC16991A,"Higher Inst of Applied Science&Tech of Sousse,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC16991,"Higher Inst of Applied Science&Tech of Sousse,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC16991C,"Higher Inst of Applied Science&Tech of Sousse,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC16991B,"Higher Inst of Applied Science&Tech of Sousse,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBA10056S,Higher Inst of Computer Science SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC10222D,"Higher Inst of Info & Multimedia of Sfax,IE13/PE31",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC10222D,"Higher Inst of Info & Multimedia of Sfax,IE13/PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC60168044A,"Higher Inst of Info Technologies & Com,IA34/PE31",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC60168044A,"Higher Inst of Info Technologies & Com,IA34/PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA10222S,Higher Inst of Inform & Multimedia Sfax SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,STB10222,Higher Inst of Informatics & Multimedia of Sfax,Student Branch,Active,R80114,Tunisia Section,Section,Active
parent does not list unit as child,SCH10222,Higher Inst of Informatics & Multimedia of Sfax,Academic,Active,R80114,Tunisia Section,Section,Active
parent does not list unit as child,SBC10222C,"Higher Inst of Informatics & Multimedia Sfax,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC10222B,"Higher Inst of Informatics & Multimedia Sfax,SMC28",Student Branch Chapter,Active,SMC028,"IEEE Systems, Man, and Cybernetics Society",Society,Active
parent does not list unit as child,SBC10222,"Higher Inst of Informatics &Multimedia of Sfax,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA10222,"Higher Inst of Informatics &Multimedia of Sfax,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10222A,"Higher Inst of Informatics&Multimedia of Sfax,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA60168044S,Higher Inst of Information Tech & Com SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC60168044D,"Higher Inst of Information Tech & Com, CAS04/SSC37",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC60168044D,"Higher Inst of Information Tech & Com, CAS04/SSC37",Student Branch Chapter,Active,SSC037,IEEE Solid-State Circuits Society,Society,Active
parent does not list unit as child,SBC60168044E,"Higher Inst of Information Tech & Comm,IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC60168044,"Higher Inst of Information Technologies & Com, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA60168044,"Higher Inst of Information Technologies & Com, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC60168044C,"Higher Inst of Information Technologies & Com,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,STB60168044,Higher Inst of Information Technologies & Comm.,Student Branch,Active,R80114,Tunisia Section,Section,Active
parent does not list unit as child,SCH60168044,Higher Inst of Information Technologies & Comm.,Academic,Active,R80114,Tunisia Section,Section,Active
parent does not list unit as child,SBA20136S,Higher Inst of Tech Studies-Djerba SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC20136B,"Higher Inst of Technological Studies-Djerba,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC20136A,"Higher Inst of Technological Studies-Djerba,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC20136,"Higher Inst of Technological Studies-Djerba,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,STB60112447,Higher Inst. of Technological Studies of Zaghouan,Student Branch,Active,R80114,Tunisia Section,Section,Active
parent does not list unit as child,SBC10056,"Higher Institute of Computer Science, C016",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA10056,"Higher Institute of Computer Science, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10056D,"Higher Institute of Computer Science,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC10056B,"Higher Institute of Computer Science,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC10056C,"Higher Institute of Computer Science,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,STB39501,Higher Institute of Informatics Mahdia,Student Branch,Active,R80114,Tunisia Section,Section,Active
parent does not list unit as child,SBC39501,"Higher Institute of Informatics Mahdia, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC39501B,"Higher Institute of Informatics Mahdia, CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC39501A,"Higher Institute of Informatics Mahdia, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA39501,"Higher Institute of Informatics Mahdia, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10057,"Higher Institute of Tech Studies of Rades, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA10057,"Higher Institute of Tech Studies of Rades, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA15160,"Higher Institute of Tech. Studies ISET'COM, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC13271A,"Higher National Eng School of Tunis,IA34/PE31/IE13",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC13271A,"Higher National Eng School of Tunis,IA34/PE31/IE13",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA13271S,Higher National Eng. School of Tunis SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC13271D,"Higher National Engineering School of Tunis,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC13271C,"Higher National Engineering School of Tunis,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC13271B,"Higher National Engineering School of Tunis,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC13271G,"Higher National Engineering School of Tunis,VT06",Student Branch Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,SBA13271,"Higher National Engineering School of Tunis,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC09861A,"Higher School of Comm of Tunis,GRS029/AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC09861B,"Higher School of Communication of Tunis,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC09861C,"Higher School of Communication of Tunis,IA34/IE13",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC09861C,"Higher School of Communication of Tunis,IA34/IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC09861D,"Higher School of Communication of Tunis,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC09861,"Higher School of Communication of Tunis,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA09861,"Higher School of Communication of Tunis,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB29351,Hindustan Institute of Technology & Science,Student Branch,Active,R00133,Madras Section,Section,Active
parent does not list unit as child,SCH29351,Hindustan Institute of Technology & Science,Academic,Active,R00133,Madras Section,Section,Active
parent does not list unit as child,SBC29351D,"Hindustan Institute of Technology & Science,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC29351E,"Hindustan Institute of Technology & Science,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC29351A,"Hindustan Institute of Technology & Science,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC29351C,"Hindustan Institute of Technology & Science,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC29351H,"Hindustan Institute of Technology & Science,PHO36",Student Branch Chapter,Active,PHO036,IEEE Photonics Society,Society,Active
parent does not list unit as child,SBC29351B,"Hindustan Institute of Technology & Science,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC29351G,"Hindustan Institute of Technology & Science,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,YP00985,"Hiroshima, Shikoku and Fukuoka Jt. Sections,YP",Affinity,Active,CMA9100,IEEE Young Professionals Committee,Committee,Active
parent does not list unit as child,SBA18251,"HITEC University, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC18251A,"HITEC University,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC18251,"HITEC University,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,STB10041,HKBK College of Engineering,Student Branch,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SCH10041,HKBK College of Engineering,Academic,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SBC10041B,"HKBK College of Engineering,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
